City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
246,Itacare,20,BR,1580932393,70,-14.28,-39.0,86.0,9.17
247,Miandrivazo,0,MG,1580932395,83,-19.52,45.47,78.49,1.77
248,Pedernales,20,DO,1580932397,58,18.04,-71.74,86.0,12.75
249,Sale,90,MA,1580932398,93,34.04,-6.82,55.99,2.13
250,Half Moon Bay,40,US,1580932269,50,37.46,-122.43,61.0,6.62
251,Hervey Bay,75,AU,1580932401,100,-25.3,152.85,71.6,9.17
252,Strezhevoy,90,RU,1580932402,80,60.73,77.59,30.2,15.66
253,Bara,3,NG,1580932404,15,10.37,10.73,70.25,8.19
254,Zhigansk,27,RU,1580932408,97,66.77,123.37,-39.8,1.07
255,Muqui,100,BR,1580932409,97,-20.96,-41.35,72.99,2.95
256,Lorengau,99,PG,1580932410,78,-2.02,147.27,83.73,11.5
257,Departamento de Maldonado,75,UY,1580932411,46,-34.67,-54.92,93.2,6.93
258,Midland,90,US,1580932210,85,32.0,-102.08,28.4,12.75
259,Kirakira,100,SB,1580932414,80,-10.45,161.92,82.06,10.85
260,Hailar,100,CN,1580932415,84,49.2,119.7,-16.46,5.46
261,Lebu,64,CL,1580932416,45,-37.62,-73.65,62.13,10.8
262,Bundaberg,75,AU,1580932310,100,-24.85,152.35,71.6,9.17
263,Saint-Francois,100,FR,1580932418,80,46.42,3.91,35.6,5.82
264,Mujiayingzi,0,CN,1580932420,76,42.12,118.78,0.91,4.5
265,Mpika,100,ZM,1580932421,94,-11.83,31.45,62.73,10.65
266,Kenora,75,CA,1580932129,67,49.82,-94.43,24.8,9.17
267,Urengoy,100,RU,1580932423,97,65.97,78.37,32.49,19.26
268,Adrar,0,MR,1580932424,10,20.5,-10.07,70.88,9.31
269,Belaya Gora,100,RU,1580932428,99,68.53,146.42,-25.17,2.71
270,Mokhsogollokh,94,RU,1580932429,99,61.47,128.92,-40.65,0.76
271,Hashimoto,40,JP,1580932430,69,34.32,135.62,37.99,20.8
272,Turukhansk,100,RU,1580932431,93,65.82,87.98,17.38,16.55
273,Severodvinsk,75,RU,1580932432,84,64.56,39.83,8.6,4.47
274,Dicabisagan,100,PH,1580932434,89,17.08,122.42,73.44,12.26
275,Pacific Grove,1,US,1580932317,43,36.62,-121.92,60.01,11.97
276,Mount Gambier,90,AU,1580932439,82,-37.83,140.77,57.2,14.99
277,Gamba,65,GA,1580932440,82,-2.65,10.0,79.34,4.14
278,Foki,100,RU,1580932441,94,56.69,54.35,18.97,8.03
279,Severo-Kuril'sk,49,RU,1580932443,80,50.68,156.12,6.64,2.59
280,Weyburn,95,CA,1580932444,73,49.67,-103.85,26.01,4.0
281,Hambantota,46,LK,1580932445,78,6.12,81.12,78.6,14.88
282,Margate,100,GB,1580932447,86,51.38,1.39,44.01,4.7
283,Kieta,100,PG,1580932449,74,-6.22,155.63,82.09,3.65
284,Kendari,100,ID,1580932450,94,-3.94,122.5,75.43,1.39
285,Pisco,0,PE,1580932451,30,-13.7,-76.22,75.99,13.87
286,Presidencia Roque Saenz Pena,85,AR,1580932454,40,-26.79,-60.44,97.02,7.83
287,San Cristobal,20,VE,1580932456,52,7.77,-72.22,87.8,10.29
288,Truckee,75,US,1580932212,29,39.33,-120.18,50.0,4.7
289,Riachao,87,BR,1580932459,77,-7.36,-46.62,78.37,1.83
290,Yumen,60,CN,1580932460,58,40.28,97.2,19.62,8.48
291,Kodiak,90,US,1580932462,81,57.79,-152.41,32.0,4.85
292,Quatre Cocos,75,MU,1580932463,94,-20.21,57.76,78.8,12.75
293,Santa Maria,40,BR,1580932464,52,-29.68,-53.81,91.4,10.29
294,Paracuru,40,BR,1580932383,69,-3.41,-39.03,82.4,2.24
295,Baturaja,100,ID,1580932466,93,-4.13,104.17,71.92,2.55
296,Taunggyi,0,MM,1580932468,37,20.78,97.03,52.45,4.59
297,Vila Franca do Campo,40,PT,1580932469,82,37.72,-25.43,60.8,9.17
298,Bajina Basta,100,RS,1580932470,100,43.97,19.57,23.0,19.46
299,Troitsko-Pechorsk,100,RU,1580932472,96,62.71,56.2,3.36,4.23
300,Acapulco de Juarez,75,MX,1580932457,70,16.86,-99.89,84.2,6.93
301,Yaan,12,NG,1580932475,11,7.38,8.57,79.92,3.31
302,Deep River,20,CA,1580932478,48,46.1,-77.5,21.99,1.68
303,Karasjok,90,NO,1580932479,85,69.47,25.51,19.4,49.44
304,Norfolk,90,US,1580932481,51,42.17,-71.25,41.0,6.93
305,Beringovskiy,100,RU,1580932482,99,63.05,179.32,-19.57,23.44
306,Spisska Nova Ves,20,SK,1580932483,30,48.94,20.56,32.0,23.04
307,Monrovia,20,LR,1580932484,83,6.3,-10.8,80.6,3.36
308,Hualmay,42,PE,1580932485,61,-11.1,-77.61,77.79,10.29
